Page 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account Name :(cid:9)LAXMI METAL SYNDICATE LLP Address (cid:9)(cid:9) :(cid:9) 01 OPP DASALADWADI,,,,,,,57,226.16 Account Statement from 1 Nov 2022 to 30 Nov 2022 Txn Date Value Description Ref No./Cheque Debit Credit Balance Date No. 1 Nov 2022 1 Nov 2022 BY TRANSFER-RTGS UTR TRANSFER 37,47,705.00 -7,62,9,521.16 NO: FROM HDFCR52022110156882756- 3199860044304 / MEWELECTRICALSLTD MEWELECTRICA LSLTD 2 Nov 2022 2 Nov 2022 CHQ TRANSFER-RTGS UTR 97272 LAXMI 36,0,047.20 -7,98,9,568.36 NO: METAL SBINR52022110212749807- SYNDICATE 97272 LAXMI METAL SYNDICATE 5 Nov 2022 5 Nov 2022 BY TRANSFER-RTGS UTR TRANSFER 4,2,437.00 -7,94,7,131.36 NO: FROM HDFCR52022110558037329- 3199856044300 / RAJFILTERSANDWIREMESH RAJFILTERSAND PVTLTD WIREMESHPVTL TD 7 Nov 2022 7 Nov 2022 BY TRANSFER-RTGS UTR TRANSFER 50,0,000.00 -7,44,7,131.36 NO: FROM FDRLR52022110733387286- 3199859044307 / GLOBAL COPPER PRIVATE GLOBAL LIMITED COPPER PRIVATE LIMITED 7 Nov 2022 7 Nov 2022 BY TRANSFER-RTGS UTR TRANSFER 46,16,283.00 -6,97,90,848.36 NO: FROM FDRLR52022110733387289- 3199859044307 / GLOBAL COPPER PRIVATE GLOBAL LIMITED COPPER PRIVATE LIMITED 7 Nov 2022 7 Nov 2022 CHQ TRANSFER-RTGS UTR 97273 LAXMI 1,0,0,047.2 -7,97,90,895.56 NO: METAL 0 SBINR52022110713684370- SYNDICATE 97273 LAXMI METAL SYNDICATE 9 Nov 2022 9 Nov 2022 BY TRANSFER-RTGS UTR TRANSFER 60,0,000.00 -7,37,90,895.56 NO: FROM UTIBR52022110900251539- 3199859044307 / LAXMI METAL SYNDICATE LAXMI METAL SYNDICATE,,,,,,,,,,,,,,,,,,,,,,,,,
Txn Date,Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Txn Date,Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Nov-22,15-Nov-22,CHQ TRANSFER-RTGS UTR NO: SBINR52022111515085488- 97279 LAXMI METAL SYNDICATE,97279 LAXMI METAL SYNDICATE,3500047.2,,-79965589.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Nov-22,16-Nov-22,BY TRANSFER-RTGS UTR NO: UTIBR52022111600299795- LAXMI METAL SYNDICATE,TRANSFER FROM 3199856044300 / LAXMI METAL SYNDICATE,,900000,-79065589.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Nov-22,16-Nov-22,CHQ TRANSFER-RTGS UTR NO: SBINR52022111615334035- 97280 K B UDHYOG LLP,97280 K B UDHYOG LLP,900047.2,,-79965636.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Nov-22,18-Nov-22,BY TRANSFER-RTGS UTR NO: UTIBR52022111800177406- LAXMI METAL SYNDICATE,TRANSFER FROM 3199859044307 / LAXMI METAL SYNDICATE,,1150000,-78815636.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Nov-22,18-Nov-22,BY TRANSFER-RTGS UTR NO: FDRLR52022111833320791- GLOBAL COPPER PRIVATE LIMITED,TRANSFER FROM 3199859044307 / GLOBAL COPPER PRIVATE LIMITED,,1300000,-77515636.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Nov-22,18-Nov-22,BY TRANSFER-INB IMPS232215510664/99999999 99/XX4262/imps-,MAD00018631377 4 MAD00018631377 4,,40000,-77475636.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Nov-22,18-Nov-22,CHQ TRANSFER-RTGS UTR NO: SBINR52022111815819180- 97281 K B UDHYOG LLP,97281 K B UDHYOG LLP,2504642.2,,-79980279.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Nov-22,19-Nov-22,BY TRANSFER-RTGS UTR NO: FDRLR52022111933321712- GLOBAL COPPER PRIVATE LIMITED,TRANSFER FROM 3199856044300 / GLOBAL COPPER PRIVATE LIMITED,,5000000,-74980279.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Nov-22,19-Nov-22,BY TRANSFER-RTGS UTR NO: FDRLR52022111933321733- GLOBAL COPPER PRIVATE LIMITED,TRANSFER FROM 3199859044307 / GLOBAL COPPER PRIVATE LIMITED,,1000000,-73980279.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Nov-22,19-Nov-22,CHEQUE WDL- TRF-97282,TRANSFER FROM 10184847407 / 97282,261286,,-74241565.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Nov-22,19-Nov-22,CHQ TRANSFER-RTGS UTR NO: SBINR52022111916024674- 97283 LAXMI METAL SYNDICATE,97283 LAXMI METAL SYNDICATE,5735047.2,,-79976612.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
